start,end,orth,draft_ipa,eng,spn,notes,flags
57.198,58.72,tá ntsìtavǎ-nà ñàà,t̪á ntsìt̪avǎ nà ñàà,when they would take,cuando solian sacar,,"t->t̪ (tentative, verify)"
58.72,61.755,ñùñǔ-ka ra meé soo tìntò'ǒ luu ntsìtsǎchúun-nà,ñùñǔ ka ra mɛɛ́ soo t̪ìnt̪òʔǒ luu ntsìtsǎtʃúũ nà,"the bees, they would just use little jars",las abejas puro jarrito usaban,Las personas usaban jarritos,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'"
61.762,63.495,chíkàà-nà ñu'ù ra,tʃíkàà nà ñuʔù ra,make fire,echan fuego y,,unmapped char: 'r'
63.507,67.368,chíkàà-nà ñàà ñàà yuchí yútǔ,tʃíkàà nà ñàà ñàà yutʃí yút̪ǔ,put some sawdust,echan serrín,yuchí yútǔ - de yuchǐ yutǔ. Rise de yuchǐ se reduce a alto. Alto adjetival en yútǔ??,"t->t̪ (tentative, verify); unmapped char: 'y'"
67.41,70.118,á nchíì tâǎn-nà jara ñà-ka kúu-ñà,á ntʃíì t̪âã̌ nà jara ñà ka kúu ñà,or whatever they put and that is,o lo que le pongan y eso es,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
70.118,71.963,saán kúu-ñà ntsìtavǎ-nà ntǔxì,saã́ kúu ñà ntsìt̪avǎ nà nt̪ǔʃì,that's how they used to take the honey,asi era como sacaban la miel,,"t->t̪ (tentative, verify)"
71.973,73.503,tá tsàà na'á cha vichi ra,t̪á tsàà naʔá tʃa vitʃi ra,before but now,antes pero ahora,,"t->t̪ (tentative, verify); unmapped char: 'r'"
73.506,76.266,ntùu kue kàa ra ñǒ'o kúu ñà tsáchúun-kuê ra,nt̪ùu kwɛ kàa ra ñǒʔo kúu ñà tsátʃúũ kuɛ̂ ra,they invented the metals and these are the ones we use,y se inventaron los fierros y esos son los que usamos,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'w'"
76.279,78.582,ñà-ka kúu-ñà ñàà,ñà ka kúu ñà ñàà,this is what we,eso es lo que,,
78.582,80.42,távǎ-kuê ntǔxì ra,t̪ávǎ kuɛ̂ nt̪ǔʃì ra,take the honey,sacamos miel,,"t->t̪ (tentative, verify); unmapped char: 'r'"
80.42,84.239,meê ra tsàà yachi mikǐ xíkò ntǔxì tono ntǔxì ntǔxì ñàà,mɛɛ̂ ra tsàà yatʃi mikǐ ʃíkò nt̪ǔʃì t̪ono nt̪ǔʃì nt̪ǔʃì ñàà,I almost never sell honey like honey honey,yo ya casi nunca vendo miel como miel miel...,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
84.281,85.886,kú'nî-rǎ rì tsà'ǎ ñà-ka,kúʔnî rǎ rì tsàʔǎ ñà ka,squeezed because,esprimirlo porque,,unmapped char: 'r'
85.912,91.519,váí nchuà'a tsú'ní-kuê-rǎ ra tsàà yachi meé soo tá ñù'mǎ luu tsú'nî ra ñàà,váí ntʃuàʔa tsúʔní kuɛ̂ rǎ ra tsàà yatʃi mɛɛ́ soo t̪á ñùʔmǎ luu tsúʔnî ra ñàà,it takes a lot to squeeze it and it’s almost put wax that we squeeze,tardamos mucho en exprimirla(miel) y casi puro cera exprimo y,"Nota: meé soo tá = puro / No sabemos por qué tá, pero no significa cuando","t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
91.519,97.011,nchá... nchá kána kúu ñàà nchá ntinuu luu kúu nchá xíkò ra ñà kúu,ntʃá... ntʃá kána kúu ñàà ntʃá nt̪inuu luu kúu ntʃá ʃíkò ra ñà kúu,the liquid... the liquid that comes out it is the liquid that I sell,el líquido... el líquido(miel) que sale es el puro líquido lo que vendo,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
97.115,101.415,saán sáchúun-kuê chíí suà'a chíí Yukúnanǐ tatù,saã́ sátʃúũ kuɛ̂ tʃíí suàʔa tʃíí Yukúnanǐ t̪at̪ù,this is how we work for this area in Yucunani in case,así trabajamos de este lado por Yucunani por si,notes: tatù = ratù (variation),"t->t̪ (tentative, verify); unmapped char: 'Y'"
101.429,104.541,nchíì nà kúnì katsí ntǔxì ra,ntʃíì nà kúnì katsí nt̪ǔʃì ra,somebody wants to eat honey,alguien quiere comer miel y,,"t->t̪ (tentative, verify); unmapped char: 'r'"
104.565,108.271,ñàà ka'àn soo-kue-ní-ni ra yó'o yéè-rǎ,ñàà kaʔã̀ soo kwɛ ní ni ra yóʔo yɛ́ɛ̀ rǎ,just say it and we have some here,nomas digan y aqui hay(miel),ejemplo de =rǎ como sujeto,unmapped char: 'r'; unmapped char: 'w'; unmapped char: 'y'
108.294,113.563,ñàà tá xina ñú'u nìkìtsáà ñàà,ñàà t̪á ʃina ñúʔu nìkìtsáà ñàà,the first time I started,la primera vez que empecé,note: Jeremías pronunciaría 'xinà ñú'u' (no sabemos por qué la diferencia),"t->t̪ (tentative, verify)"
113.575,116.042,ntǎ'àn inì-yù kúu ku'mî ñùñǔ kúu-ñà,nt̪ǎʔã̀ inì yù kúu kuʔmî ñùñǔ kúu ñà,I liked being able to have bees because,Me gustó poder tener abejas porque,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'y'"
116.201,118.447,ntàà tá luù ra ntsìtá'àn nchuà'a inì-yù ñàà,nt̪àà t̪á luù ra ntsìt̪áʔã̀ ntʃuàʔa inì yù ñàà,it is true that when I was a kid I liked it a lot,es verdad que cuando estaba chico me gustaba mucho,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
118.492,121.193,tá ntáné'ê ñùñǔ á yokǒ á,t̪á nt̪ánɛ́ʔɛ̂ ñùñǔ á yokǒ á,when I found bees or wasps,Cuando encuentro abejas o avispas o algo,Check tones of avispas,"t->t̪ (tentative, verify); unmapped char: 'y'"
121.193,124.271,nchíì nchíì ñà nìkùu-ni ra ntsìtá'àn nchuà'a inì-yù,ntʃíì ntʃíì ñà nìkùu ni ra ntsìt̪áʔã̀ ntʃuàʔa inì yù,something something whatever it was I liked it a lot,algo algo lo que fuera a mí me gustaba mucho.,Notes: nchuà'a entre V y inì,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
124.288,125.296,kusíkî rì,kusíkî rì,to play because,jugar porque,notes: good example of purposive,unmapped char: 'r'
125.296,127.453,ntsìtá'àn nchuà'a inì-yù távâ ntǔxì luu--tí,ntsìt̪áʔã̀ ntʃuàʔa inì yù t̪ávâ nt̪ǔʃì luu t̪í,I used to like taking their honey a lot,me gustaba mucho sacar su miel,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'y'"
127.489,129.852,jara né'ê ntǔxì luu tsátsî tá tsíkà yukǔ,jara nɛ́ʔɛ̂ nt̪ǔʃì luu tsátsî t̪á tsíkà yukǔ,and I got honey and I would eat it when I walked on the mountain,y conseguía miel (y)me la comia cuando andaba por el monte.,"notes: not katsî, tsátsî - because it's realis! It's what he actually used to do","t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
129.858,132.039,kuà'àn-yù nùǔ sànà-yù kuà'àn-yù ra,kuàʔã̀ yù nùǔ sànà yù kuàʔã̀ yù ra,I go with my animals (properties) or I go and,voy con mis animales(propiedad) o voy,"Notas: sànà - propiedad, anafórico (en este caso se refiere a los animales)",unmapped char: 'r'; unmapped char: 'y'
132.052,133.967,ntáné'ê ñàà yòkò ra,nt̪ánɛ́ʔɛ̂ ñàà yòkò ra,I find beehives or,encuentro panales o,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
133.981,135.743,tsá'nchà-yù-ñà ra né'ê ntǔxì luu tsátsî,tsáʔntʃà yù ñà ra nɛ́ʔɛ̂ nt̪ǔʃì luu tsátsî,I cut it and I get honey to eat,lo corto y consigo miel para comer,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
135.755,137.755,cha iká kúu-ñà nìntǎ'vǐ-à inì-yù ñàà,tʃa iká kúu ñà nìnt̪ǎʔvǐ à inì yù ñàà,that's what it came from to me,de ahí es donde me nació,Notes: Check tones!!!,"t->t̪ (tentative, verify); unmapped char: 'y'"
137.767,140.699,nìkùtoò-yù nìkùtoò-yù kúu ku'mî-tǐ,nìkùt̪oò yù nìkùt̪oò yù kúu kuʔmî t̪ǐ,I liked it Iliked to have them,me gustó me gustó tenerlos (los animales),,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'y'"
140.711,142.24,jara ñàà,jara ñàà,then,entonces,,unmapped char: 'j'; unmapped char: 'r'
142.254,145.793,ntás... ntásan... ntsà'a chí'an-nà iin ñàà iin,nt̪ás... nt̪ásan... ntsàʔa tʃíʔã nà iĩ ñàà iĩ,they gave me a,ah ah me regalaron un...,Notes: escribimos ntsà'achí'an-nà or ntsà'a chí'an-nà,"t->t̪ (tentative, verify)"
145.806,147.266,kájà luu-tí kúu ku'mî,kájà luu t̪í kúu kuʔmî,little box to have them,cajita para tenerlos,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'"
147.282,149.671,jara iká ra kuéên kuéên ra ntàkayà-tǐ,jara iká ra kuɛ́ɛ̃̂ kuɛ́ɛ̃̂ ra nt̪àkayà t̪ǐ,then slowly they multiplied,entonces ahí poco a poco se multiplicaron,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'; unmapped char: 'y'"
149.671,152.964,ñà ntàà kúu-ñà michú'ni ñàà,ñà nt̪àà kúu ñà mitʃúʔni ñàà,truth is that now that,es verdad que ahorita que,,"t->t̪ (tentative, verify); unmapped char: 'm'"
152.966,155.142,yòǒ ichî ñàà kǒo ñàà,yòǒ itʃî ñàà kǒo ñàà,that is the dry season,la temporada seca,,unmapped char: 'y'
155.142,156.174,kǒo,kǒo,there isn't,no hay,,
157.171,159.04,ñà katsí ñùñǔ luu yó'o ra,ñà katsí ñùñǔ luu yóʔo ra,food so that these bees eat,que estas abejitas coman,,unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'
159.136,161.862,ñà ntàà meê ra mikǐ tù'vâ tâân ñà katsí,ñà nt̪àà mɛɛ̂ ra mikǐ t̪ùʔvâ t̪âã̂ ñà katsí,The truth is that I don't normally give them food,"La verdad, yo no suelo darles de comer",,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
161.87,163.291,katsí-tí nti....,katsí t̪í nt̪i....,the animals,a los animales,,"t->t̪ (tentative, verify)"
163.314,165.22,tsíní ñú'u tono ñà ká'àn kue,tsíní ñúʔu t̪ono ñà káʔã̀ kwɛ,it is important as they say,es importante como dicen,,"t->t̪ (tentative, verify); unmapped char: 'w'"
165.228,167.37,tò'ò yó'o kúu-ñà tsíní ñú'u kuà'a-kó,t̪òʔò yóʔo kúu ñà tsíní ñúʔu kuàʔa kó,"the ""foreigners"" that you have to give them",los fuereno que es importante darles,,"t->t̪ (tentative, verify); unmapped char: 'y'"
167.428,170.133,ñà katsí-tí tavà koo-tí teèn meê ra,ñà katsí t̪í t̪avà koo t̪í t̪ɛɛ̃̀ mɛɛ̂ ra,give them food so they live but I,darles de comer para que vivan pero yo,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
170.241,173.293,kuě kúnì-yù skâân ñùñǔ luu saán saán soo ñàà,kwɛ̌ kúnì yù skâã̂ ñùñǔ luu saã́ saã́ soo ñàà,I don't want my bees to get used to this,No quiero acustumbrar mis abejitas asi asi que,,unmapped char: 'l'; unmapped char: 'w'; unmapped char: 'y'
173.307,174.896,ñà sá'à kúu-ñà tsákì soò ñàà,ñà sáʔà kúu ñà tsákì soò ñàà,what I do is I sow,lo que hago es solo sembrar,,
174.914,176.546,ità luu katsí-tí á,it̪à luu katsí t̪í á,little flowers to eat,florecitas para comer o,,"t->t̪ (tentative, verify); unmapped char: 'l'"
176.757,178.336,nchíì kuáchi suà'a luu ntu...,ntʃíì kuátʃi suàʔa luu nt̪u...,whatever,cualquier cosa,,"t->t̪ (tentative, verify); unmapped char: 'l'"
178.357,181.544,ntuvà á nchíì tsákì-yù ra iká kúu-ñà ntútútú-tí ra iká,nt̪uvà á ntʃíì tsákì yù ra iká kúu ñà nt̪út̪út̪ú t̪í ra iká,edible herbs or what I sow and there (bees) get together and,hierbas comestibles o lo que siembro y ahí se juntan(abejas) y,notes: investigar qué hierba en concreto,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
181.544,182.444,iká tsítsá'an-tí,iká tsítsáʔã t̪í,there they eat,ahí comen(abejas),notes: -tí a veces suena como -rí,"t->t̪ (tentative, verify)"
184.809,186.283,ñàà,ñàà,,,,
186.375,188.528,tá nìkìtsáà ra jani kuě,t̪á nìkìtsáà ra jani kwɛ̌,when I started almost no,Cuando empecé casi no,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'; unmapped char: 'w'"
188.794,191.036,kuě nchíchì xèě-ni kuíî nùû rì tsà'ǎ ñà-ka,kwɛ̌ ntʃítʃì ʃɛ̀ɛ̌ ni kuíî nùû rì tsàʔǎ ñà ka,it wasn't even that difficult for me because,no se me hizo dificil porque,,unmapped char: 'r'; unmapped char: 'w'
191.109,192.714,tono iin chuun ñàà,t̪ono iĩ tʃuũ ñàà,like a job that,como un trabajo que,notes: suena casi como nà,"t->t̪ (tentative, verify)"
192.735,195.646,tá'àn ntǎ'àn inì-yù sá'à víî ra tsà'ǎ ñà-ka kúu-ñà,t̪áʔã̀ nt̪ǎʔã̀ inì yù sáʔà víî ra tsàʔǎ ñà ka kúu ñà,I like and liked doing that's why,me gusta me gustaba hacer por eso es,notes: víî = kuíî,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
195.703,196.69,ñàà,ñàà,,,,
196.69,198.911,kuě nchíchì xèě kúu-ñà nìkùtù'và tavà,kwɛ̌ ntʃítʃì ʃɛ̀ɛ̌ kúu ñà nìkùt̪ùʔvà t̪avà,"it wasn't very difficult, I learned it so that",no era muy dificil lo que aprendi para que,,"t->t̪ (tentative, verify); unmapped char: 'w'"
199.476,201.029,kutù'và nixi tavâ-rǐ,kut̪ùʔvà niʃi t̪avâ rǐ,I learned how to take them out,aprendiera como sacarlos(abejas),notes: ti suena como ri,"t->t̪ (tentative, verify); unmapped char: 'r'"
202.815,204.462,ñà ntàà ra ñàà,ñà nt̪àà ra ñàà,the truth is that,la verdad que,,"t->t̪ (tentative, verify); unmapped char: 'r'"
204.467,206.493,chuun luu-ka ra kuě nchíchì-ñà ra,tʃuũ luu ka ra kwɛ̌ ntʃítʃì ñà ra,the job is not dificult,el trabajo no es dificil,,unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'w'
206.525,208.185,á kúu-nà ña'á á kúu-nà chàa,á kúu nà ñaʔá á kúu nà tʃàa,be it women or men,ya sean mujeres o hombres,,
208.185,209.38,ra kúu,ra kúu,they can,se pueda,,unmapped char: 'r'
209.38,212.359,kúu... kúu ku'mí-nà-tǐ ra kúu sáchúun-nà tsi-tí rì,kúu... kúu kuʔmí nà t̪ǐ ra kúu sátʃúũ nà tsi t̪í rì,they can have them and work with them because,se pueda tenerlos y trabajarlos porque,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
212.672,213.614,ñàà,ñàà,,,,
213.814,216.362,iin ñà ná mà yǔ'ù soo-nà-tǐ-ni ra kúu,iĩ ñà ná mà yǔʔù soo nà t̪ǐ ni ra kúu,if you only are not afraid of them you can,nomás que no se le tenga miedo y se puede,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
218.989,221.731,"àjǎ, tá tsàà na'á ra saán-ni ntsìtsìkà","àjǎ, t̪á tsàà naʔá ra saã́ ni ntsìtsìkà","yes, I used to walk",si antes solo solía andar,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
221.741,224.394,iin sa'mǎ ncheé-ni... [tsi iin] ñàà,iĩ saʔmǎ ntʃɛɛ́ ni... [tsi iin] ñàà,with thick clothes and,con una ropa gruesa (y),,unmapped char: 'm'
224.786,226.838,iin ñà kú ntǎsì nùǔ nchíì ñà nìkùu-ni,iĩ ñà kú nt̪ǎsì nùǔ ntʃíì ñà nìkùu ni,with whatever to cover my face,con lo que fuera para taparme la cara,,"t->t̪ (tentative, verify)"
226.854,228.368,ntsìtsásì-yù nùû ra,ntsìtsásì yù nùû ra,I used to cover my face,me solía tapar la cara,,unmapped char: 'r'; unmapped char: 'y'
228.368,230.446,vichi kúu ñàà vichi kúu-ñà ntàkuǎàn,vitʃi kúu ñàà vitʃi kúu ñà nt̪àkwǎã̀,now I bought,ahora es que compré,,"t->t̪ (tentative, verify); unmapped char: 'w'"
230.466,232.405,yéè kánkúun sa'mǎ ñàà,yɛ́ɛ̀ kánkúũ saʔmǎ ñàà,special clothes,ropa especial que,,unmapped char: 'm'; unmapped char: 'y'
232.41,234.644,ñà kú ntsìtsó ñàà kú nkàa nùǔ-kó,ñà kú ntsìtsó ñàà kú nkàa nùǔ kó,to dress and cover my (our) face,para vestirnos o para cubrir la cara,,
236.96,238.615,Yukúnanǐ yó'o ra,Yukúnanǐ yóʔo ra,Here in Yucunani,Aqui en Yucunani,,unmapped char: 'Y'; unmapped char: 'r'; unmapped char: 'y'
238.622,241.142,ùnì tá'àn-kuê kúu-ñà sáchúun sáchúun,ùnì t̪áʔã̀ kuɛ̂ kúu ñà sátʃúũ sátʃúũ,there are three of us that work,tres de nosotros somos los que trabajamos,,"t->t̪ (tentative, verify)"
241.142,242.825,cha maestro Moisés,tʃa maɛst̪ro Moisɛ́s,with Maestro Moisés,con el Maestro Moises,,"t->t̪ (tentative, verify); unmapped char: 'M'; unmapped char: 'm'; unmapped char: 'r'"
242.836,244.269,Velasco tsi ñàà,vɛlasco tsi ñàà,Velasco and,Velasco y,,unmapped char: 'c'; unmapped char: 'l'
244.749,248.138,Maurino Rodriguez ùnì tá'àn-kuê kúu-ñà sáchúun Yukúnanǐ yó'o,Maurino Rodriguɛz ùnì t̪áʔã̀ kuɛ̂ kúu ñà sátʃúũ Yukúnanǐ yóʔo,"Maurino Rodriguez, there are three of us who work here in Yucunani",Maurino Rodriguez somo tres los que trabajamos aqui en Yucunani,,"t->t̪ (tentative, verify); unmapped char: 'M'; unmapped char: 'R'; unmapped char: 'Y'; unmapped char: 'd'; unmapped char: 'g'; unmapped char: 'r'; unmapped char: 'y'; unmapped char: 'z'"
249.443,250.66,ñàà,ñàà,,,,
250.665,253.104,iin nùǔ kájà ra ñàà,iĩ nùǔ kájà ra ñàà,in a box and,en una caja y,,unmapped char: 'j'; unmapped char: 'r'
254.221,257.86,nti'i-ni kue kájà yó'o ra tsíku'mí-à iin ñùñǔ luu kitǐ,nt̪iʔi ni kwɛ kájà yóʔo ra tsíkuʔmí à iĩ ñùñǔ luu kit̪ǐ,all boxes normally have a little bee,todas las cajas suelen tener una abejita,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'w'; unmapped char: 'y'"
257.865,259.487,kitǐ naní reina,kit̪ǐ naní rɛina,called the queen,que le dicen reina,,"t->t̪ (tentative, verify); unmapped char: 'r'"
259.49,261.112,saán naní iin kitǐ kúu ntsá'nu,saã́ naní iĩ kit̪ǐ kúu ntsáʔnu,this is what we call the one that rules,así se llama la que manda,,"t->t̪ (tentative, verify)"
261.115,263.465,tsàà jara kú'mí síin tukì iin ñàà,tsàà jara kúʔmí síĩ t̪ukì iĩ ñàà,but it (the box) also has a different,pero tambien la (caja) tiene otra abeja,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'm'; unmapped char: 'r'"
263.926,266.421,ñùñǔ kitǐ ntoo luu kitǐ íí ná kachǒ,ñùñǔ kit̪ǐ nt̪oo luu kit̪ǐ íí ná katʃǒ,"bee, a big animal that is the male let's say",abeja mas grande que es el macho digamos,,"t->t̪ (tentative, verify); unmapped char: 'l'"
266.777,270.454,cha jara (ii...) kitǐ íí luu-ka ra iin tiémpù luu-ni tono iin,tʃa jara (ii...) kit̪ǐ íí luu ka ra iĩ t̪iɛ́mpù luu ni t̪ono iĩ,and the male only lives for a little time,y el macho solo vive en un tiempecito,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'"
270.621,272.76,yéè iin tiémpù luu-ni kúu-ñà tsíǒ-tí,yɛ́ɛ̀ iĩ t̪iɛ́mpù luu ni kúu ñà tsíǒ t̪í,it lives for a little time,vive en un tiempecito,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'y'"
272.999,273.926,cha jara,tʃa jara,and then,entonces,,unmapped char: 'j'; unmapped char: 'r'
273.998,274.843,ñàà,ñàà,,,,
274.862,276.106,takuà tsákì-tǐ tàtà,t̪akuà tsákì t̪ǐ t̪àt̪à,to reproduce,para reproducir,,"t->t̪ (tentative, verify)"
276.237,278.609,cha tá ntì'i jara (tsán) tsá'ní-kue-ì ñàà,tʃa t̪á nt̪ìʔi jara (tsán) tsáʔní kwɛ ì ñàà,then the (female) bees kill,luego las abejas(hembras) matan,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'; unmapped char: 'w'"
278.788,279.905,kue kitǐ íí-ka,kwɛ kit̪ǐ íí ka,the male bees,a los machos,,"t->t̪ (tentative, verify); unmapped char: 'w'"
279.905,281.299,cha ntôo tani ñàà,tʃa nt̪ôo t̪ani ñàà,and then the only one left,entonces solo queda,,"t->t̪ (tentative, verify)"
281.333,283.622,kitǐ kúu ntsá'nu-ka kitǐ tsákì ntivǐ-ka,kit̪ǐ kúu ntsáʔnu ka kit̪ǐ tsákì nt̪ivǐ ka,is the queen that lays eggs,la reina la que pone los huevos,,"t->t̪ (tentative, verify)"
283.932,285.254,tsákì-tǐ ntivǐ,tsákì t̪ǐ nt̪ivǐ,lays eggs,pone huevos,,"t->t̪ (tentative, verify)"
285.274,286.707,kuà'ǎ nchuà'à ntivǐ tsákì-tǐ,kuàʔǎ ntʃuàʔà nt̪ivǐ tsákì t̪ǐ,lays a lot of eggs,pone muchos huevos,,"t->t̪ (tentative, verify)"
